name,orgnr,email,website,city,gatuadress,postadress,postnummer,postort,full_address,lat,lon,sate_clean,registrerad_datum,registrerad_datum_sort,registrerad_ar,arbetsgivare,f_skatt,moms,fordon_antal,har_fordon,sni,sni_text_clean,sni_antal,bolagsform,status,SNI1,SNI1_text,SNI2,SNI2_text,SNI3,SNI3_text,SNI4,SNI4_text,SNI5,SNI5_text,status_clean,registrerad_datum_clean,sni_kod_clean
Armeniska kulturföreningen i Jönköping,8024565783,seto1952@yahoo.com,,Jönköping,Banérvägen 21 lgh 1001,554 63 Jönköping,55463,Jönköping,"Banérvägen 21 lgh 1001, 55463, Jönköping, Sweden",57.7825634,14.165719,"Jönköping, Jönköpings län",2010-12-09,2010-12-09,2010.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2010-12-09,94990
Assyriska Babylon Föreningen,8260017986,mezalta@hotmail.com,,Jönköping,Åsenvägen 47,554 39 Jönköping,55439,Jönköping,"Åsenvägen 47, 55439, Jönköping, Sweden",57.7722709,14.1387328,"Jönköping, Jönköpings län",1995-09-17,1995-09-17,1995.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1995-09-17,94990
Assyriska Futsal Club Jönköping,8025137202,peter@chankoofsweden.se,,Bankeryd,Störtloppsvägen 7,564 34 Bankeryd,56434,Bankeryd,"Störtloppsvägen 7, 56434, Bankeryd, Sweden",57.8563711,14.1390015,"Jönköping, Jönköpings län",2018-01-12,2018-01-12,2018.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2018-01-12,93120
Assyriska Föreningen,857205-9445,,,Västra Frölunda,Diamantgatan 1,421 52 Västra Frölunda,42152,Västra Frölunda,"Diamantgatan 1, 42152, Västra Frölunda, Sweden",57.6505019,11.903987,"Göteborg, Västra Götalands län",1989-09-10,1989-09-10,1989.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1989-09-10,94990
Assyriska IK,8025290720,info@assyriskaik.se,,Jönköping,Huskvaranavägen 79,554 66 Jönköping,55466,Jönköping,"Huskvaranavägen 79, 55466, Jönköping, Sweden",57.7878395,14.2378443,"Jönköping, Jönköpings län",2020-02-28,2020-02-28,2020.0,Ja,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2020-02-28,93120
Assyriska Kulturcenter Jönköping,8025479224,ankido.khano@gmail.com,www.akc-jonkoping.se,Huskvarna,Birkagatan 36,561 33 Huskvarna,56133,Huskvarna,"Birkagatan 36, 56133, Huskvarna, Sweden",57.7869727,14.2556697,"Jönköping, Jönköpings län",2024-07-12,2024-07-12,2024.0,Nej,Nej,Nej,0,Nej,90200,Scenkonst,1,Ideell förening,Aktiv,90200,Scenkonst,,,,,,,,,Aktiv,2024-07-12,90200
Assyriska Turabdin Föreningen,8260013530,atf@live.se,,Jönköping,Huskvarnavägen 79,554 66 Jönköping,55466,Jönköping,"Huskvarnavägen 79, 55466, Jönköping, Sweden",57.7872688,14.2348127,"Jönköping, Jönköpings län",1988-04-29,1988-04-29,1988.0,Ja,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,2,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,Aktiv,1988-04-29,93120
Astma-Allergiföreningen i Vätterstad,8260009892,martina.axene@gmail.com,,Bankeryd,Frejgatan 53 lgh 1301,113 49 Stockholm,11349,Stockholm,"Frejgatan 53 lgh 1301, 11349, Stockholm, Sweden",59.3382751,18.0718928,"Jönköping, Jönköpings län",1979-01-01,1979-01-01,1979.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1979-01-01,94990
Attention Jönköping,8025405369,styrelsen@jonkoping.attention.se,https://jonkoping.attention.se/,Jönköping,Lillsvängen 5,564 32 Bankeryd,56432,Bankeryd,"Lillsvängen 5, 56432, Bankeryd, Sweden",57.8633155,14.1351716,"Jönköping, Jönköpings län",2022-08-26,2022-08-26,2022.0,Nej,Nej,Nej,0,Nej,88994,Humanitära insatser,1,Ideell förening,Aktiv,88994,Humanitära insatser,,,,,,,,,Aktiv,2022-08-26,88994
Badmintonklubben Wätterstad,8260010908,info@bmk-watterstad.se,svenskalag.se/bmkwatterstad,Huskvarna,Ebbesvägen 4 lgh 1102,561 39 Huskvarna,56139,Huskvarna,"Ebbesvägen 4 lgh 1102, 56139, Huskvarna, Sweden",57.7918701,14.2739261,"Jönköping, Jönköpings län",1983-01-08,1983-01-08,1983.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1983-01-08,93120
Bangolfklubben Jönköping,8260006724,bgkjonkoping@gmail.com,,Jönköping,S:t Göransvägen 31,554 54 Jönköping,55454,Jönköping,"S:t Göransvägen 31, 55454, Jönköping, Sweden",57.7830349,14.2271813,"Jönköping, Jönköpings län",1973-01-01,1973-01-01,1973.0,Ja,Nej,Nej,0,Nej,93112,Drift av golfbanor,1,Ideell förening,Aktiv,93112,Drift av golfbanor,,,,,,,,,Aktiv,1973-01-01,93112
Bankeryd Taekwondo Klubb,8024929047,sibbatorp@yahoo.se,https://idrottonline.se/BankerydTKDKlubb-Taekwondo/,Habo,Västbovägen 60,331 53 Värnamo,33153,Värnamo,"Västbovägen 60, 33153, Värnamo, Sweden",57.1798229,14.0202125,"Jönköping, Jönköpings län",2015-01-22,2015-01-22,2015.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2015-01-22,93120
Bankeryds Basket,8260011708,info@bankerydsbasket.com,https://www.laget.se/BankerydsBasket,Bankeryd,Bankgatan 8 C 1 Trn,564 31 Bankeryd,56431,Bankeryd,"Bankgatan 8 C 1 Trn, 56431, Bankeryd, Sweden",57.8631423,14.1278533,"Jönköping, Jönköpings län",1984-05-13,1984-05-13,1984.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1984-05-13,93120
Bankeryds Fotoklubb,8024403522,info@bankerydsfotoklubb.se,www.bankerydsfotoklubb.se,Bankeryd,Hagagatan 8,565 32 Mullsjö,56532,Mullsjö,"Hagagatan 8, 56532, Mullsjö, Sweden",57.9055822,13.8873876,"Jönköping, Jönköpings län",2008-03-06,2008-03-06,2008.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2008-03-06,94990
Bankeryds Hembygdsförening,8260018539,magnus.thorell@telia.com,www.hembygdbankeryd.se,Bankeryd,Högalundsgatan 20,564 32 Bankeryd,56432,Bankeryd,"Högalundsgatan 20, 56432, Bankeryd, Sweden",57.8581314,14.1327965,"Jönköping, Jönköpings län",1996-09-16,1996-09-16,1996.0,Nej,Nej,Nej,1,Ja,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1996-09-16,94990
Bankeryds Missionsförsamling,8260000198,bankeryd@mission.se,mission.se,Bankeryd,Ekeforsvägen 22,564 33 Bankeryd,56433,Bankeryd,"Ekeforsvägen 22, 56433, Bankeryd, Sweden",57.8548536,14.1229678,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,0,Nej,85100,Förskoleutbildning,2,Ideell förening,Aktiv,85100,Förskoleutbildning,94910,Verksamhet i religiösa samfund,,,,,,,Aktiv,1971-01-01,85100
Bankeryds Ridklubb,8260006666,bankerydsridklubb@gmail.com,https://www.laget.se/BankerydsRidklubb,Bankeryd,Målskog Säteri,564 91 Bankeryd,56491,Bankeryd,"Målskog Säteri, 56491, Bankeryd, Sweden",57.8631423,14.1278533,"Jönköping, Jönköpings län",1973-01-01,1973-01-01,1973.0,Ja,Nej,Nej,3,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1973-01-01,93120
Bankeryds Scoutkår,8260022200,johanna.stenholm.varn@gmail.com,https://bankeryd.scout.se/,Bankeryd,Älvgatan 15,564 35 Bankeryd,56435,Bankeryd,"Älvgatan 15, 56435, Bankeryd, Sweden",57.8622137,14.1177902,"Jönköping, Jönköpings län",2002-03-04,2002-03-04,2002.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2002-03-04,94990
Bankeryds SK,8260000180,info@bankeryd.nu,www.laget.se/bankeryds_sk,Bankeryd,Verkstadsvägen 2,564 35 Bankeryd,56435,Bankeryd,"Verkstadsvägen 2, 56435, Bankeryd, Sweden",57.8656757,14.1189472,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,3,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1971-01-01,93120
Bankeryds Skid- och Motionsklubb,8260020196,bo.stenholm@telia.com,,Bankeryd,Box 159,564 24 Bankeryd,56424,Bankeryd,"Box 159, 56424, Bankeryd, Sweden",57.8631423,14.1278533,"Jönköping, Jönköpings län",1999-10-15,1999-10-15,1999.0,Ja,Nej,Nej,3,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1999-10-15,93120
Bankeryds Skol-IF,8024516026,stefan.karlsson@jonkoping.se,,Bankeryd,Attarpsvägen 7,564 33 Bankeryd,56433,Bankeryd,"Attarpsvägen 7, 56433, Bankeryd, Sweden",57.8556908,14.1188657,"Jönköping, Jönköpings län",2010-04-15,2010-04-15,2010.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2010-04-15,93120
Bankeryds Skytteförening,8260022747,bankerydsskytteforening@gmail.com,www.bankerydsskytte.se,Bankeryd,Åvägen 9,562 42 Taberg,56242,Taberg,"Åvägen 9, 56242, Taberg, Sweden",57.6820373,14.0972255,"Jönköping, Jönköpings län",2002-12-12,2002-12-12,2002.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2002-12-12,93120
Bankeryds Tennisklubb,8260010478,kansliet@bankerydstk.se,www.bankerydstk.se,Bankeryd,Verkstadsvägen 2,564 35 Bankeryd,56435,Bankeryd,"Verkstadsvägen 2, 56435, Bankeryd, Sweden",57.8656757,14.1189472,"Jönköping, Jönköpings län",1981-01-01,1981-01-01,1981.0,Ja,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1981-01-01,93120
Bankeryds Trädgårdsförening,8024715982,evert.ostvall@bahnhof.se,,Bankeryd,Trånghallavägen 74,564 36 Bankeryd,56436,Bankeryd,"Trånghallavägen 74, 56436, Bankeryd, Sweden",57.8448316,14.1472549,"Jönköping, Jönköpings län",2013-04-14,2013-04-14,2013.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2013-04-14,94990
Barnarps Frikyrkoförsamling,8260000206,david@sjobergsson.st,https://furubackskyrkan.se/,Jönköping,Lovsjövägen 10,556 31 Jönköping,55631,Jönköping,"Lovsjövägen 10, 55631, Jönköping, Sweden",57.7133087,14.1749258,"Jönköping, Jönköpings län",1973-01-01,1973-01-01,1973.0,Ja,Nej,Nej,0,Nej,94910,Verksamhet i religiösa samfund,1,Ideell förening,Aktiv,94910,Verksamhet i religiösa samfund,,,,,,,,,Aktiv,1973-01-01,94910
Barnarps Hembygdsförening,8260013100,signar1@hotmail.com,,Jönköping,Styckjunkargatan 25,556 32 Jönköping,55632,Jönköping,"Styckjunkargatan 25, 55632, Jönköping, Sweden",57.7060147,14.1663251,"Jönköping, Jönköpings län",1987-08-13,1987-08-13,1987.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1987-08-13,94990
Barnarps IF,8260008613,barnarpsif@gmail.com,,Jönköping,Barnarps Idrottsplats,556 32 Jönköping,55632,Jönköping,"Barnarps Idrottsplats, 55632, Jönköping, Sweden",57.7092263,14.1687539,"Jönköping, Jönköpings län",1975-01-01,1975-01-01,1975.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1975-01-01,93120
Barnarps Scoutkår,8260015915,familjenhertelendy@gmail.com,,Jönköping,Ubbarpsvägen 11,556 33 Jönköping,55633,Jönköping,"Ubbarpsvägen 11, 55633, Jönköping, Sweden",57.6969098,14.1874672,"Jönköping, Jönköpings län",1992-04-08,1992-04-08,1992.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1992-04-08,94990
Bartella Föreningen i Jönköping,8024610886,suhaibshamaoon@yahoo.com,,Huskvarna,Oxhagsgatan 12 lgh 1101,561 50 Huskvarna,56150,Huskvarna,"Oxhagsgatan 12 lgh 1101, 56150, Huskvarna, Sweden",57.7918701,14.2739261,"Jönköping, Jönköpings län",2011-07-28,2011-07-28,2011.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2011-07-28,94990
